,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
21,76,11/24/2015 16:44,3,1,10,15,18,1,1,12.9,12.42265,154.322222,96.299609,43,0,43,1,7,9.5,18,43,11,0.44,8.68,7,3053,17.472836,2.460963,55.253959,0.588532,1.401461,4.56397,24,7.408704,54.888889,30.869598,34,11,23,0.511111,24,26,28,34,4,0.076923,5.2,2,6254,25.007999,1.359565,79.082236,0.601888,-0.917604,2.783278,2.2896,0.70679,0.499553,30.869598,3.2436,1.0494,2.1942,0.511111,2.2896,2.4804,2.6712,3.2436,0.3816,0.076923,0.49608,0.1908,56.918655,2.385763,1.359565,7.544445,0.601888,-0.917604,2.783278,81.4,3.747592,14.044444,4.603921,85,73,12,0.075949,79,82.5,84,85,5,0.030675,2.92,2.5,66386,81.477604,1.043231,257.654808,#NAME?,-1.091086,3.431762,0,1,1,16,360
22,77,11/24/2015 16:54,3,1,10,16,18,1,1,9.5,8.501634,72.277778,89.490882,23,0,23,1,0,8,18,23,18,1,6.8,8,1553,12.461942,1.845619,39.408121,0.059787,0.311064,1.774987,23.5,7.749552,60.055556,32.976817,30,11,19,0.463415,13,28,28,30,15,0.365854,6.7,0,6063,24.62316,1.218365,77.865268,#NAME?,-0.867457,1.813157,2.2419,0.739307,0.546575,32.976817,2.862,1.0494,1.8126,0.463415,1.2402,2.6712,2.6712,2.862,1.431,0.365854,0.63918,0,55.180333,2.349049,1.218365,7.428347,#NAME?,-0.867457,1.813157,85,5.077182,25.777778,5.973155,92,77,15,0.088757,82,86,89,92,7,0.040936,4.2,4,72482,85.136361,1.080619,269.224813,#NAME?,-0.311421,1.862366,0,1,1,16,360
23,78,11/24/2015 17:04,3,1,10,17,18,1,0,4.4,7.820202,61.155556,177.731858,22,0,22,1,0,0,8,22,8,1,6.16,0,744,8.625543,2.550564,27.276363,0.533239,1.417186,3.539853,15.3,7.454305,55.566667,48.720949,28,10,18,0.473684,11,11,24,28,13,0.371429,6.42,0.5,2841,16.855266,1.661202,53.301032,0.578282,0.915185,1.924786,1.45962,0.711141,0.505721,48.720949,2.6712,0.954,1.7172,0.473684,1.0494,1.0494,2.2896,2.6712,1.2402,0.371429,0.612468,0.0477,25.856396,1.607992,1.661202,5.084918,0.578282,0.915185,1.924786,70.3,6.412661,41.122222,9.121851,81,60,21,0.148936,65,72.5,73,81,8,0.057971,5.24,4.5,49791,70.562738,1.147915,223.13897,#NAME?,-0.085435,2.141567,0,1,1,17,360
24,79,11/24/2015 17:14,3,1,10,18,18,1,1,18.8,21.744987,472.844444,115.664823,56,0,56,1,0,9,32,56,32,1,18.16,9,7790,27.910571,2.006408,88.260977,#NAME?,0.779497,2.079846,24.5,10.002777,100.055556,40.827663,38,11,27,0.55102,13,25,32,38,19,0.422222,7.9,9,6903,26.273561,1.446321,83.084295,-0.235725,-0.218718,1.710563,2.3373,0.954265,0.910622,40.827663,3.6252,1.0494,2.5758,0.55102,1.2402,2.385,3.0528,3.6252,1.8126,0.422222,0.75366,0.8586,62.825307,2.506498,1.446321,7.926242,-0.235725,-0.218718,1.710563,85.3,3.433495,11.788889,4.025199,90,81,9,0.052632,83,85,88,90,5,0.02924,3.1,3,72867,85.36217,1.054331,269.938882,#NAME?,0.009375,1.383768,0,1,1,17,360
25,80,11/24/2015 17:24,3,1,10,19,18,1,1,16.5,15.196856,230.944444,92.10216,47,0,47,1,7,12.5,22,47,15,0.517241,11.3,7.5,4801,21.911184,2.145023,69.289249,#NAME?,0.901429,2.779411,24.2,7.671013,58.844444,31.698402,34,11,23,0.511111,24,26,28,34,4,0.076923,5.36,2,6386,25.270536,1.34544,79.912452,-0.34387,-0.807412,2.634247,2.30868,0.731815,0.535553,31.698402,3.2436,1.0494,2.1942,0.511111,2.2896,2.4804,2.6712,3.2436,0.3816,0.076923,0.511344,0.1908,58.120008,2.410809,1.34544,7.623648,-0.34387,-0.807412,2.634247,77.3,4.877385,23.788889,6.309684,85,66,19,0.125828,76,78,79,85,3,0.019355,3.18,1.5,59967,77.438363,1.097647,244.881604,2.438547,-1.00333,4.365745,0,1,1,17,360
26,83,11/29/2015 16:15,1,0,63,3,1,1,0,0.6,1.897367,3.6,316.227766,6,0,6,1,0,0,0,6,0,,1.08,0,36,1.897367,3.162278,6,#NAME?,2.666667,8.111111,11.8,3.614784,13.066667,30.633767,22,10,12,0.375,10,11,11,22,1,0.047619,2.04,0,1510,12.288206,1.790335,38.858718,#NAME?,2.580415,7.851381,1.12572,0.34485,0.118922,30.633767,2.0988,0.954,1.1448,0.375,0.954,1.0494,1.0494,2.0988,0.0954,0.047619,0.194616,0,13.742752,1.172295,1.790335,3.707122,#NAME?,2.580415,7.851381,66.6,3.921451,15.377778,5.888065,72,61,11,0.082707,63,66.5,70,72,7,0.052632,3.4,3.5,44494,66.703823,1.079398,210.936009,#NAME?,-0.056868,1.5704,1,6,1,16,360
27,88,11/29/2015 17:05,1,0,63,8,1,1,0,1,3.162278,10,316.227766,10,0,10,1,0,0,0,10,0,,1.8,0,100,3.162278,3.162278,10,0.793243,2.666667,8.111111,11.7,4.347413,18.9,37.157376,24,10,14,0.411765,10,10,11,24,1,0.047619,2.46,0,1539,12.405644,1.934603,39.23009,0.823722,2.609036,7.928212,1.11618,0.414743,0.172012,37.157376,2.2896,0.954,1.3356,0.411765,0.954,0.954,1.0494,2.2896,0.0954,0.047619,0.234684,0,14.006685,1.183498,1.934603,3.742551,0.823722,2.609036,7.928212,67.8,4.366539,19.066667,6.440324,78,63,15,0.106383,65,66.5,70,78,5,0.037037,3.16,2,46140,67.926431,1.148301,214.802235,#NAME?,1.273186,3.998712,1,6,1,17,360
28,91,11/29/2015 17:35,1,0,63,11,1,1,0,0.4,1.264911,1.6,316.227766,4,0,4,1,0,0,0,4,0,,0.72,0,16,1.264911,3.162278,4,-0.359268,2.666667,8.111111,11.4,3.747592,14.044444,32.873612,22,10,12,0.375,10,10,11,22,1,0.047619,2.12,0,1426,11.941524,1.842311,37.762415,-0.318425,2.607284,7.918723,1.08756,0.35752,0.127821,32.873612,2.0988,0.954,1.1448,0.375,0.954,0.954,1.0494,2.0988,0.0954,0.047619,0.202248,0,12.978254,1.139221,1.842311,3.602534,-0.318425,2.607284,7.918723,66.9,2.469818,6.1,3.691805,70,63,7,0.052632,65,67.5,69,70,4,0.029851,2.12,2,44811,66.941019,1.045697,211.686088,0.675753,-0.299452,1.593548,1,6,1,17,360
29,93,11/29/2015 17:55,1,0,63,13,1,1,0,3.8,5.865151,34.4,154.346087,17,0,17,1,0,0,7,17,7,1,4.56,0,454,6.737952,2.523022,21.307276,#NAME?,1.301377,3.462953,16.7,7.660142,58.677778,45.869115,28,10,18,0.473684,11,11,24,28,13,0.371429,7.04,0.5,3317,18.212633,1.537394,57.593402,#NAME?,0.468652,1.318013,1.59318,0.730778,0.534036,45.869115,2.6712,0.954,1.7172,0.473684,1.0494,1.0494,2.2896,2.6712,1.2402,0.371429,0.671616,0.0477,30.188548,1.737485,1.537394,5.494411,#NAME?,0.468652,1.318013,77.3,6.447222,41.566667,8.34052,88,68,20,0.128205,71,78,83,88,12,0.077922,5.3,5,60127,77.541602,1.134875,245.208075,0.225837,0.103158,1.87592,1,6,1,17,360
30,94,11/29/2015 18:17,1,0,64,1,98,4,1,54.7,31.675613,1003.344444,57.907884,104,0,104,1,37,61.5,79,104,42,0.362069,25.16,20,38951,62.410736,1.66638,197.360077,0.888289,-0.29264,2.248252,38.5,12.920698,166.944444,33.560255,58,11,47,0.681159,34,40,48,58,14,0.170732,9.4,7,16325,40.404208,1.435494,127.769323,0.656469,-0.696852,3.307608,3.6729,1.232635,1.519388,33.560255,5.5332,1.0494,4.4838,0.681159,3.2436,3.816,4.5792,5.5332,1.3356,0.170732,0.89676,0.6678,148.576437,3.854561,1.435494,12.189193,0.656469,-0.696852,3.307608,97.3,6.864563,47.122222,7.055049,107,87,20,0.103093,92,96.5,104,107,12,0.061224,6.1,5.5,95097,97.517691,1.097237,308.378015,#NAME?,-0.004692,1.541606,1,6,2,18,360
